ID,EN,NL,DE,FR
<{mollie}prestashop>mollie_484f5a79672cebe198ebdde45a1d672f;Gift wrapping;Cadeauverpakking;Geschenkpapier;Emballage cadeau
<{mollie}prestashop>mollie_7c478959c218087ffc4ad5d96e7f66a6;Mollie;Mollie;Mollie;Mollie
<{mollie}prestashop>mollie_95b3b272e06dcc3cc2aa62f6887aebc5;Mollie Payments;Mollie Betalingen;Mollie Payments;Paiements Mollie
<{mollie}prestashop>mollie_7b00a9f51c5ed5221a71379f5022c0b8;Dear customer, your PHP version is too low. Please upgrade your PHP version to use this module. Mollie module supports PHP 5.6 and higher versions.;Beste klant, je PHP-versie is verouderd. Werk je PHP-versie bij om deze module te gebruiken. Mollie ondersteunt PHP 5.6 en hoger.;Sehr geehrter Kunde, Sie nutzen eine zu niedrige PHP-Version. Aktualisieren Sie PHP, um dieses Modul zu nutzen. Mollie unterstützt die PHP-Version 5.6 und höher.;Cher client, votre version de PHP est insuffisante. Veuillez mettre à jour votre version de PHP pour utiliser ce module. Le module Mollie est compatible avec les versions PHP 5.6 et ultérieures.
<{mollie}prestashop>mollie_46e2d06b80d816b2916f1f27492fbabd;Unable to install module;Module installeren niet mogelijk;Modul kann nicht installiert werden;Impossible d'installer le module
<{mollie}prestashop>mollie_da72870a79e82cbcbffe83612e5d7968;The module upload requires an extra refresh. Please upload the Mollie module ZIP file once again. If you still get this error message after attempting another upload, please contact Mollie support with this screenshot and they will guide through the next steps: info@mollie.com;De upload dient opnieuw ververst te worden. Upload het ZIP-bestand van de Mollie-module nogmaals. Als je deze foutmelding nog steeds krijgt nadat je een nieuwe upload hebt geprobeerd, neem dan contact op met Mollie-support met dit screenshot en zij zullen je verder helpen: info@mollie.com;Der Modul-Upload erfordert eine zusätzliche Aktualisierung. Bitte laden Sie die ZIP-Datei des Mollie-Moduls erneut hoch. Wenn Sie nach dem Versuch eines weiteren Uploads immer noch diese Fehlermeldung erhalten, wenden Sie sich mit diesem Screenshot an den Mollie-Support. Dieser führt Sie durch die nächsten Schritte: info@mollie.com;Le téléchargement du module nécessite une actualisation supplémentaire. Veuillez télécharger à nouveau le fichier ZIP du module Mollie. Si vous obtenez toujours ce message d'erreur après avoir tenté un autre téléchargement, veuillez contacter le support Mollie avec cette capture d'écran et ils vous guideront à travers les étapes suivantes: info@mollie.com
<{mollie}prestashop>mollie_17ab49984d8dd1dff2aa7d542505ab54;Please upgrade Mollie module.;Upgrade Mollie-module;Bitte Mollie-Modul upgraden.;Veuillez mettre à jour le module Mollie.
<{mollie}prestashop>mollie_df6afbc66efff37559c2ad3512555fc9;Please select order status for the \"Status for Awaiting payments\" field in the \"Advanced settings\" tab
<{mollie}prestashop>mollie_ddadb642121242386456853538decbbf;Description cannot be empty;Beschrijving mag niet leeg zijn;Beschreibung darf nicht leer sein;La description ne peut être vide
<{mollie}prestashop>mollie_5c16da68879ccae998265f761701a3be;Wrong profile ID;Verkeerde profiel-ID;Falsche Profil-ID;Mauvais identifiant
